Date,Playtime,Rank,Season,Result,Map,Agent,Rounds Won,Rounds Lost,Kills,Deaths,Assists,Headshots,Headshot Percentage,Damage,Received Damage,Kill Death Ratio
2021-02-06T23:12:54.248+00:00,26m 04s,Gold 3,E2: A1,victory,Split,Sage,13,4,4,11,4,3,13.636363636363637,998,1829,0.3636363636363636
2021-02-06T22:38:28.236+00:00,31m 50s,Gold 3,E2: A1,defeat,Haven,Cypher,6,13,9,15,4,5,15.0,2182,2560,0.6
2021-02-06T21:52:28.12+00:00,30m 22s,Gold 3,E2: A1,defeat,Icebox,Omen,6,13,4,15,2,2,9.090909090909092,1183,2592,0.2666666666666666
2021-02-06T18:14:35.049+00:00,32m 18s,Gold 3,E2: A1,defeat,Split,Omen,7,13,11,18,5,5,15.789473684210526,1952,2904,0.6111111111111112
2021-02-06T16:48:37.87+00:00,37m 23s,Gold 3,E2: A1,defeat,Split,Omen,11,13,13,22,5,4,8.620689655172415,2405,3564,0.5909090909090909
2021-02-05T22:19:34.793+00:00,43m 56s,Gold 3,E2: A1,defeat,Bind,Killjoy,12,14,11,20,4,4,11.11111111111111,2052,3687,0.55
2021-02-04T21:42:09.584+00:00,46m 47s,Gold 3,E2: A1,victory,Split,Reyna,14,12,21,21,5,11,18.421052631578945,4007,4036,1.0
2021-02-04T19:31:51.063+00:00,27m 22s,Gold 3,E2: A1,victory,Bind,Killjoy,13,4,13,10,2,10,24.13793103448276,2705,1680,1.3
2021-02-03T22:32:03.65+00:00,35m 37s,Gold 3,E2: A1,defeat,Haven,Cypher,8,13,10,18,2,8,18.6046511627907,2182,3381,0.5555555555555556
2021-02-03T21:06:19.249+00:00,34m 11s,Gold 2,E2: A1,victory,Bind,Omen,13,7,10,17,2,4,12.5,1496,2939,0.5882352941176471
2021-02-02T22:40:02.832+00:00,30m 55s,Gold 2,E2: A1,defeat,Split,Reyna,8,13,21,15,5,12,15.0,3895,2907,1.4
2021-02-02T17:32:01.541+00:00,46m 15s,Gold 2,E2: A1,victory,Ascent,Omen,15,13,10,19,7,4,10.416666666666668,2030,3222,0.5263157894736842
2021-02-02T16:54:01.211+00:00,27m 25s,Gold 2,E2: A1,defeat,Bind,Killjoy,4,13,5,14,0,2,13.513513513513514,2163,3275,0.3571428571428571
2021-03-10T13:18:03.413+00:00,31m 35s,Platinum 1,E2: A2,defeat,Bind,Brimstone,7,13,16,17,6,6,17.543859649122805,2933,2823,0.9411764705882352
2021-03-10T12:37:21.46+00:00,26m 16s,Gold 3,E2: A2,victory,Icebox,Brimstone,13,4,18,10,6,6,16.666666666666664,2055,2099,1.8
2021-03-09T22:21:32.933+00:00,41m 35s,Gold 3,E2: A2,victory,Haven,Omen,13,11,8,16,6,1,4.3478260869565215,1580,2986,0.5
2021-03-09T21:28:59.179+00:00,35m 53s,Gold 3,E2: A2,victory,Haven,Omen,13,11,17,18,1,6,11.538461538461538,2357,3079,0.9444444444444444
2021-03-09T21:03:24.612+00:00,23m 28s,Gold 3,E2: A2,defeat,Bind,Yoru,2,13,3,14,3,1,10.714285714285714,835,2392,0.2142857142857142
2021-03-08T21:16:30.058+00:00,40m 21s,Gold 3,E2: A2,victory,Split,Brimstone,13,10,12,13,5,6,13.043478260869565,2343,2316,0.9230769230769232
2021-03-08T20:20:53.196+00:00,41m 29s,Gold 3,E2: A2,victory,Bind,Brimstone,13,11,21,18,7,9,15.714285714285714,3599,2920,1.1666666666666667
2021-03-08T19:31:02.125+00:00,41m 39s,Gold 3,E2: A2,victory,Split,Sage,13,11,18,19,10,9,17.741935483870968,2645,3406,0.9473684210526316
2021-03-08T18:31:11.817+00:00,47m 49s,Gold 3,E2: A2,defeat,Ascent,Brimstone,12,14,33,18,11,18,19.587628865979383,7299,4115,1.8333333333333333
2021-03-08T17:56:07.933+00:00,33m 47s,Gold 3,E2: A2,victory,Bind,Brimstone,13,7,9,12,9,3,8.51063829787234,2097,2250,0.75
2021-03-06T13:10:05.63+00:00,30m 18s,Gold 3,E2: A2,defeat,Ascent,Cypher,4,13,6,16,2,4,18.6046511627907,1714,2630,0.375
2021-03-06T12:44:46.553+00:00,21m 45s,Gold 3,E2: A2,defeat,Split,Cypher,0,13,7,12,3,1,15.151515151515152,1311,2245,0.5833333333333334
2021-03-06T12:02:51.241+00:00,32m 41s,Gold 3,E2: A2,defeat,Icebox,Sage,10,13,8,20,8,2,3.636363636363636,1607,3701,0.4
2021-03-06T11:20:00.24+00:00,33m 41s,Gold 3,E2: A2,victory,Bind,Omen,13,9,9,17,4,4,12.76595744680851,1737,2916,0.5294117647058824
2021-03-05T22:13:40.342+00:00,34m 24s,Gold 3,E2: A2,victory,Split,Omen,13,10,19,15,4,2,2.73972602739726,3522,3772,1.2666666666666666
2021-03-05T21:36:45.386+00:00,30m 32s,Gold 3,E2: A2,victory,Icebox,Omen,13,6,14,11,2,6,13.20754716981132,2465,1955,1.2727272727272727
2021-03-05T16:15:20.011+00:00,37m 36s,Gold 2,E2: A2,victory,Bind,Yoru,13,9,12,14,2,5,13.88888888888889,2103,2988,0.8571428571428571
2021-03-01T15:09:55.552+00:00,36m 57s,Gold 3,E2: A1,defeat,Icebox,Omen,10,13,10,20,1,6,15.384615384615383,2103,3188,0.5
2021-02-26T12:09:21.25+00:00,39m 15s,Gold 3,E2: A1,defeat,Icebox,Omen,9,13,13,17,3,6,12.0,2370,2836,0.7647058823529411
2021-02-20T19:54:02.753+00:00,39m 19s,Gold 3,E2: A1,victory,Haven,Omen,13,11,11,14,2,5,9.615384615384617,2044,2847,0.7857142857142857
2021-03-20T10:59:36.369+00:00,36m 35s,Gold 2,E2: A2,victory,Bind,Omen,13,10,16,19,6,10,17.543859649122805,2944,3574,0.8421052631578947
2021-03-19T23:33:47.59+00:00,46m 26s,Gold 2,E2: A2,victory,Bind,Killjoy,14,12,22,19,4,13,12.096774193548388,4187,3870,1.1578947368421053
2021-03-19T22:51:09.648+00:00,33m 35s,Gold 2,E2: A2,victory,Haven,Reyna,13,11,23,16,9,16,25.71428571428571,4270,3319,1.4375
2021-03-19T22:12:53.533+00:00,26m 15s,Gold 2,E2: A2,defeat,Icebox,Reyna,4,13,20,17,6,16,26.47058823529412,3937,3455,1.1764705882352942
2021-03-18T22:51:10.069+00:00,30m 51s,Gold 2,E2: A2,defeat,Split,Astra,6,13,8,17,3,5,21.052631578947366,1819,2590,0.4705882352941176
2021-03-18T21:54:41.794+00:00,43m 18s,Gold 2,E2: A2,defeat,Ascent,Astra,11,13,11,16,5,4,7.6923076923076925,3681,4136,0.6875
2021-03-16T22:36:38.198+00:00,33m 40s,Gold 2,E2: A2,victory,Ascent,Killjoy,13,10,13,13,2,9,23.684210526315788,2179,2562,1.0
2021-03-16T21:57:55.955+00:00,25m 48s,Gold 3,E2: A2,defeat,Split,Brimstone,4,13,9,13,9,7,21.951219512195124,2359,2037,0.6923076923076923
2021-03-16T21:15:24.195+00:00,36m 39s,Gold 3,E2: A2,defeat,Haven,Brimstone,11,13,14,18,3,8,17.391304347826086,2526,2919,0.7777777777777778
2021-03-14T21:38:09.04+00:00,31m 33s,Gold 3,E2: A2,defeat,Icebox,Raze,9,13,8,16,6,3,6.521739130434782,1987,2863,0.5
2021-03-14T20:57:08.539+00:00,32m 37s,Gold 3,E2: A2,victory,Ascent,Cypher,13,7,17,11,4,6,9.67741935483871,2505,2161,1.5454545454545454
2021-03-14T20:14:12.179+00:00,35m 37s,Gold 3,E2: A2,defeat,Split,Cypher,11,13,6,17,5,2,5.263157894736842,1303,2836,0.3529411764705882
2021-03-14T19:20:44.372+00:00,39m 49s,Gold 3,E2: A2,victory,Bind,Cypher,13,11,16,12,1,6,17.391304347826086,2352,2634,1.3333333333333333
2021-03-10T23:53:01.018+00:00,29m 11s,Gold 3,E2: A2,defeat,Ascent,Cypher,5,13,8,15,3,3,10.526315789473683,1492,2414,0.5333333333333333
2021-03-10T23:07:53.098+00:00,34m 34s,Gold 3,E2: A2,victory,Icebox,Cypher,13,7,11,12,5,5,14.285714285714285,1750,1917,0.9166666666666666
2021-03-10T16:49:18.785+00:00,47m 46s,Gold 3,E2: A2,defeat,Haven,Cypher,13,15,17,19,4,10,16.071428571428573,3758,4580,0.8947368421052632
2021-03-10T15:54:14.465+00:00,33m 50s,Gold 3,E2: A2,defeat,Icebox,Sage,8,13,7,18,5,2,6.521739130434782,1597,3009,0.3888888888888889
2021-03-10T15:12:34.433+00:00,28m 01s,Gold 3,E2: A2,defeat,Split,Phoenix,6,13,13,15,4,5,9.803921568627452,2559,2835,0.8666666666666667
2021-03-10T14:31:07.391+00:00,25m 33s,Gold 3,E2: A2,defeat,Split,Brimstone,4,13,11,15,4,4,11.11111111111111,2116,2412,0.7333333333333333
2021-03-10T13:52:47.462+00:00,31m 05s,Platinum 1,E2: A2,defeat,Icebox,Brimstone,8,13,13,17,6,6,24.444444444444443,2566,2950,0.7647058823529411
2021-04-15T22:14:47.608+00:00,19m 14s,Gold 3,E2: A2,victory,Haven,Killjoy,10,3,14,7,3,12,27.659574468085108,2723,1321,2.0
2021-04-15T21:29:39.825+00:00,34m 28s,Gold 3,E2: A2,defeat,Ascent,Sage,6,13,22,16,4,12,23.52941176470588,3204,2942,1.375
2021-04-15T20:54:47.245+00:00,32m 20s,Gold 3,E2: A2,victory,Ascent,Killjoy,13,6,15,9,3,8,12.676056338028168,2302,1911,1.6666666666666667
2021-04-02T21:57:05.997+00:00,25m 26s,Gold 2,E2: A2,victory,Ascent,Cypher,13,4,7,6,5,6,33.33333333333333,1538,1193,1.1666666666666667
2021-04-02T21:22:59.166+00:00,31m 33s,Gold 2,E2: A2,victory,Bind,Sage,13,6,4,13,8,2,9.090909090909092,924,2290,0.3076923076923077
2021-03-29T19:01:54.063+00:00,27m 20s,Gold 2,E2: A2,defeat,Bind,Sage,4,13,7,15,6,3,9.523809523809524,1526,2511,0.4666666666666667
2021-03-27T22:42:51.649+00:00,38m 16s,Gold 2,E2: A2,victory,Ascent,Skye,13,11,13,18,3,8,18.367346938775512,2465,2847,0.7222222222222222
2021-03-27T22:10:35.452+00:00,27m 26s,Gold 2,E2: A2,defeat,Bind,Cypher,3,13,10,13,2,4,10.869565217391305,1881,2394,0.7692307692307693
2021-03-27T21:25:18.664+00:00,34m 17s,Gold 2,E2: A2,victory,Icebox,Omen,13,8,12,15,3,5,10.20408163265306,2154,2406,0.8
